id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged,worm_id
2638,40.0,0.43269253033291566,0.8653850606658313,43949.37089977264,-0.18131256952169078,1.6353995644068513,43949.37089977264,779.1261708620732,0.3810230899388907,240.5,1.3565811244264383,3.1352080965730527,0.1724137931034483,336.3338888888889,2,36
2639,41.0,0.19408300445067087,0.38816600890134173,44299.327966582205,-0.002224694104560623,0.9480643483097254,44299.327966582205,349.9570668095621,0.13545309976446315,246.5,2.827685196701748,14.569463228916817,0.006674082313681869,336.3338888888889,2,36
2640,42.0,0.18093912858749678,0.36187825717499356,44744.564989308616,-0.078125,1.430107357264532,44744.564989308616,445.23702272641094,0.20336713497072947,252.49833333333333,0.22153092287524562,1.2243395035923357,0.015625,336.3338888888889,2,36
2641,43.0,0.23860583159735516,0.4772116631947103,45085.62026031716,0.2938775510204082,0.9469701957219564,45085.62026031716,341.0552710085467,0.1644856452898406,258.5,0.3045745073529438,1.2764755383971926,0.0326530612244898,336.3338888888889,2,36
2642,44.0,0.22858219211709543,0.45716438423419087,45496.876847547705,-0.03670745272525028,1.594469057386843,45496.876847547705,411.2565872305422,0.2479969578649523,264.5,1.2542527290308954,5.487097299287345,0.024471635150166853,336.3338888888889,2,36
2643,45.0,0.20330718274824672,0.40661436549649344,45862.58843763306,0.03670745272525028,1.2538187846994406,45862.58843763306,365.71159008535324,0.23862058112311982,270.5,1.7485582281894385,8.600572810822237,0.011123470522803115,336.3338888888889,2,36
2644,46.0,0.1410226149981815,0.282045229996363,46116.173735055934,-0.07341490545050056,1.3135558296791146,46116.173735055934,253.58529742287647,0.20427822745937807,276.5,1.7048316426475667,12.089065591852417,0.011123470522803115,336.3338888888889,2,36
2645,47.0,0.1493798136611928,0.2987596273223856,46384.81662700093,0.0033370411568409346,1.5178711528903808,46384.81662700093,268.64289194499725,0.1850343582116638,282.5,1.2220561255217264,8.180865242565254,0.012235817575083427,336.3338888888889,2,36
2646,48.0,0.19401894123406696,0.3880378824681339,46732.155269665345,0.04357541899441341,1.7415726415169872,46732.155269665345,347.3386426644138,0.16213172388339164,288.4977777777778,0.2468982118761987,1.2725469498276332,0.013407821229050279,336.3338888888889,2,36
2647,49.0,0.11754018908552116,0.23508037817104233,47407.74844963131,-0.13051146384479717,1.108090142178781,47407.74844963131,675.5931799659666,0.1195016199905949,294.5,0.20576924194348792,1.7506288150835976,0.0,336.3338888888889,2,36
2648,50.0,0.08054388052610348,0.16108776105220696,47552.634774459526,0.0011123470522803114,1.0676224899073241,47552.634774459526,144.88632482821413,0.0862071650658901,300.5,0.16349015762443286,2.0298271768945537,0.0,336.3338888888889,2,36
2649,51.0,0.07696508286345947,0.15393016572691895,47691.06507552939,0.006674082313681869,1.0033010852433466,47691.06507552939,138.43030106986407,0.07460931222684472,306.5,0.14031016603991592,1.823036639729659,0.0,336.3338888888889,2,36
2650,52.0,0.06884719150577398,0.13769438301154796,47814.969109773745,-0.0033370411568409346,0.9549371495168497,47814.969109773745,123.90403424435499,0.0643828159720065,312.5,0.1336185342180661,1.9407986193141948,0.0,336.3338888888889,2,36
2651,53.0,0.09532435022762858,0.19064870045525717,47986.362291482976,0.011123470522803115,1.0018459249187228,47986.362291482976,171.3931817092307,0.07770974917675849,318.5,0.14554620970969434,1.5268523662856248,0.0,336.3338888888889,2,36
2652,54.0,0.092101948053826,0.184203896107652,48152.23544801576,0.0,0.9017300418214144,48152.23544801576,165.87315653278347,0.0763007700246969,324.5,0.13531967597755204,1.4692379351028366,0.0,336.3338888888889,2,36
2653,55.0,0.10865204759880764,0.2173040951976153,48347.92934694392,-0.014460511679644048,1.1067264578937062,48347.92934694392,195.69389892816253,0.09091067386268306,330.5,0.17644683090267357,1.6239623164231092,0.0,336.3338888888889,2,36
2654,56.0,0.11105173148138713,0.22210346296277425,48547.60036014741,-0.0011123470522803114,0.976072971421805,48547.60036014741,199.67101320348593,0.09738245086746597,336.5,0.19176532819988118,1.7268107902668954,0.0,336.3338888888889,2,36
2655,57.0,0.11067303561572707,0.22134607123145414,48735.52317462302,0.015312131919905771,0.9781283711599617,48735.52317462302,187.92281447561254,0.08668858485257691,342.47222222222223,0.17331168753762927,1.565979342424407,0.0,336.3338888888889,2,36
2656,0.0,1.0856641822402486,2.1713283644804973,1846.5794609190218,0.027186761229314422,1.7092528124307902,1846.5794609190218,1846.5794609190218,1.1353043524311133,0.4772222222222222,3.2834040365754973,3.024327494898332,0.5070921985815603,498.49611111111113,0,37
2657,1.0,0.6974125829430199,1.3948251658860398,3118.6685213410674,-0.017994858611825194,1.6638890370393566,3118.6685213410674,1272.0890604220456,0.5164638806488846,6.5,0.9125747926539332,1.3085149522294932,0.5642673521850899,498.49611111111113,0,37
2658,2.0,0.3051412830325489,0.6102825660650978,3779.5427775531202,0.020022246941045607,1.8623693288663976,3779.5427775531202,660.8742562120528,0.2642119066770394,12.5,0.3393182347098803,1.112003696575156,0.15350389321468297,498.49611111111113,0,37
2659,3.0,0.9255214553869555,1.851042910773911,5498.891257345046,-0.00778642936596218,1.2328330356184767,5498.891257345046,1719.348479791926,0.689945967098742,18.5,1.2744159185519772,1.3769706916401532,0.7119021134593994,498.49611111111113,0,37
2660,4.0,1.1676051302484363,2.3352102604968725,7674.740709233174,-0.01346389228886169,1.3393456286869214,7674.740709233174,2175.849451888128,0.8337371368099465,24.5,1.4304935668564251,1.225151834123967,0.762545899632803,498.49611111111113,0,37
2661,5.0,0.5380457499651748,1.0760914999303497,8820.732415150702,0.01718213058419244,1.352680243592453,8820.732415150702,1145.9917059175277,0.4689403644750817,30.5,0.6075886021532573,1.1292508159251953,0.5108820160366552,498.49611111111113,0,37
2662,6.0,2.1128176708533815,4.225635341706763,11149.240503274486,0.04941176470588235,1.001415536506249,11149.240503274486,2328.5080881237845,1.6090278498368744,36.5,3.596459504152448,1.7022100646762452,0.9858823529411764,498.49611111111113,0,37
2663,7.0,0.772919070057895,1.54583814011579,12620.080975374822,-0.058954393770856504,1.7572467602993274,12620.080975374822,1470.8404721003353,0.9068954918087703,42.5,9.70735067134984,12.559336478297421,0.048943270300333706,498.49611111111113,0,37
2664,8.0,0.6410091662422223,1.2820183324844445,13693.447449522591,0.04585537918871252,1.2873714074343692,13693.447449522591,1073.3664741477696,0.4691754312398796,48.5,1.6140072493878677,2.5179160211540133,0.36507936507936506,498.49611111111113,0,37
2665,9.0,0.2738631230883421,0.5477262461766842,14262.595277002021,0.0055617352614015575,1.4121064197946198,14262.595277002021,569.1478274794299,0.22040923773077117,54.5,0.4030994516406323,1.47190117126723,0.12458286985539488,498.49611111111113,0,37
2666,10.0,0.3168859124798773,0.6337718249597546,14998.390487047027,-0.012235817575083427,1.3788937218258515,14998.390487047027,735.7952100450057,0.25473697490992614,60.5,0.5021102857483025,1.5845143819076755,0.19021134593993325,498.49611111111113,0,37
2667,11.0,0.43520544290120455,0.8704108858024091,15825.940213460453,0.04449388209121246,1.6652592244962245,15825.940213460453,827.5497264134265,0.3767291169755343,66.5,4.655597757220656,10.697471350967266,0.15239154616240266,498.49611111111113,0,37
2668,12.0,0.4465393864017461,0.8930787728034922,16630.007541679784,0.3470522803114572,1.5106946762071642,16630.007541679784,804.0673282193311,0.521989832774817,72.5,3.753005766801849,8.404646669678797,0.19132369299221358,498.49611111111113,0,37
2669,13.0,0.44202706868989144,0.8840541373797829,17424.823465404876,0.08120133481646273,1.3122941569691138,17424.823465404876,794.8159237250911,0.5186281345875098,78.5,1.7075385442912034,3.8629728024397174,0.30589543937708563,498.49611111111113,0,37
2670,14.0,0.6655351634605888,1.3310703269211777,18622.40622961199,0.006674082313681869,1.2781242479505803,18622.40622961199,1197.5827642071126,0.5843854462492405,84.5,1.9091955143132535,2.8686621220522643,0.5183537263626251,498.49611111111113,0,37
2671,15.0,1.4708480583268633,2.9416961166537265,21267.232540261066,0.1546162402669633,1.4108692899881767,21267.232540261066,2644.8263106490776,1.3137902005292952,90.5,4.493655614259543,3.055146035526756,0.7130144605116796,498.49611111111113,0,37
2672,16.0,1.6961332356977985,3.392266471395597,24249.761796973256,-0.1686746987951807,0.740172508017217,24249.761796973256,2982.5292567121905,1.1041235256275348,96.5,2.80064461297822,1.651193758859409,0.9891566265060241,498.49611111111113,0,37
2673,17.0,0.5019171620671349,1.0038343241342698,25152.867353251553,0.13014460511679643,1.5867585595935338,25152.867353251553,903.1055562782967,0.49610712707892884,102.5,4.284991875109664,8.537249169687719,0.27808676307007785,498.49611111111113,0,37
2674,18.0,0.3843076343281309,0.7686152686562618,25843.86067092888,-0.1735261401557286,1.7635542723442572,25843.86067092888,690.9933176773266,0.4327752149199633,108.5,0.4814838687372387,1.2528605360104204,0.3114571746384872,498.49611111111113,0,37
2675,19.0,0.5641684253456714,1.1283368506913427,26858.206388460985,0.24805339265850945,1.7146776156105974,26858.206388460985,1014.3457175321055,0.4873820608343917,114.5,2.950234083370665,5.229349872891289,0.2803114571746385,498.49611111111113,0,37
2676,20.0,0.4215089139538657,0.8430178279077314,27615.82021954441,0.035595105672969966,2.036786174105924,27615.82021954441,757.6138310834249,0.45571934056114743,120.5,2.541860038791002,6.030382643507297,0.20133481646273638,498.49611111111113,0,37
2677,21.0,0.5362580747459685,1.072516149491937,28578.859567402258,0.018909899888765295,1.5742994602298845,28578.859567402258,963.039347857848,0.5219165793021423,126.5,2.3797344624573613,4.437666441824057,0.4638487208008899,498.49611111111113,0,37
2678,22.0,0.5813206719569523,1.1626413439139045,29623.987952378888,-0.41156840934371525,1.6027558662485597,29623.987952378888,1045.1283849766296,0.5730137152371587,132.5,4.107566695409453,7.0659222930809955,0.2836484983314794,498.49611111111113,0,37
2679,23.0,0.45603714174372223,0.9120742834874445,30444.019850322427,-0.2447163515016685,1.3293111112914868,30444.019850322427,820.0318979435397,0.5418570046858022,138.5,1.156207371671857,2.535335975598249,0.3136818687430478,498.49611111111113,0,37
2680,24.0,0.5472151988220887,1.0944303976441774,31427.28979013534,-0.09010011123470522,1.5064349964529467,31427.28979013534,983.2699398129116,0.568915674099542,144.5,4.15637140704562,7.595497011034127,0.3604004449388209,498.49611111111113,0,37
2681,25.0,0.6071110060581152,1.2142220121162304,32519.39660667958,0.00778642936596218,1.9692755342378665,32519.39660667958,1092.1068165442412,0.5643643043933574,150.5,2.427544320159844,3.998518056724983,0.492769744160178,498.49611111111113,0,37
2682,26.0,0.7934004132016179,1.5868008264032358,33945.87129912962,-0.01557285873192436,1.6463844882301386,33945.87129912962,1426.4746924500396,0.7186668925794935,156.5,3.8660977858126726,4.872820484440843,0.6529477196885428,498.49611111111113,0,37
2683,27.0,0.44479259087606404,0.8895851817521281,34745.66303694222,-0.002224694104560623,1.5118964000455701,34745.66303694222,799.7917378126003,0.4199462082042478,162.5,2.0569165384283212,4.624439751518827,0.3125695216907675,498.49611111111113,0,37
2684,28.0,0.6854254413009401,1.3708508826018801,35978.39236090358,0.021134593993325918,1.278787809135682,35978.39236090358,1232.7293239613573,0.4907534380991334,168.5,1.2964122641454174,1.8913979348137735,0.6051167964404894,498.49611111111113,0,37
2685,29.0,0.41288921924392796,0.8257784384878559,36721.32309325714,0.012235817575083427,1.444491644042298,36721.32309325714,742.9307323535613,0.36543551150071474,174.5,1.3094045934572305,3.171321827813713,0.19021134593993325,498.49611111111113,0,37
2686,30.0,0.5205061199793489,1.0410122399586978,37657.12793227501,-0.014460511679644048,1.6961257131606138,37657.12793227501,935.8048390178737,0.6073200999476402,180.5,4.722667376803544,9.073221611670803,0.2436040044493882,498.49611111111113,0,37
2687,31.0,0.40334588960756823,0.8066917792151365,38383.76433566192,-0.0011123470522803114,1.7468385707922784,38383.76433566192,726.6364033869104,0.4417009330975313,186.5,3.2673962839574773,8.100730336279021,0.21579532814238042,498.49611111111113,0,37
2688,32.0,0.3835003871766691,0.7670007743533382,39073.4142830437,-0.0011123470522803114,1.6931479384430606,39073.4142830437,689.6499473817748,0.4566939741365221,192.5,3.7478061545307013,9.772626781740849,0.08342602892102335,498.49611111111113,0,37
