id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged1,drugged2,worm_id
2971,41.0,0.17991870756252698,0.35983741512505396,51809.17377833444,0.004449388209121246,1.7928697722877367,51809.17377833444,323.5643925394834,0.18277276563665873,246.5,1.1607680431811653,6.451625063934859,0.028921023359288096,288.30611111111114,0,0,41
2972,42.0,0.2636594320072274,0.5273188640144548,52283.36012618471,0.025583982202447165,2.0080848934286863,52283.36012618471,474.1863478502637,0.32073498680246726,252.5,2.8084923929287378,10.651970125050378,0.035595105672969966,288.30611111111114,0,0,41
2973,43.0,0.30921681818433255,0.6184336363686651,52839.98738415306,-0.02335928809788654,1.7429169142951537,52839.98738415306,556.62725796835,0.31725744535515255,258.5,1.7117846409834179,5.535871725977649,0.0778642936596218,288.30611111111114,0,0,41
2974,44.0,0.2009822432647546,0.4019644865295092,53201.38894855622,-0.008898776418242492,2.09125464482294,53201.38894855622,361.4015644031606,0.20528663992692786,264.5,1.2791771464740829,6.364627669067353,0.027808676307007785,288.30611111111114,0,0,41
2975,45.0,0.09922917254654892,0.19845834509309784,53379.347047211166,0.021229050279329607,1.422937723420243,53379.347047211166,177.95809865494812,0.09628039385622059,270.4977777777778,0.43734846766328495,4.407458577346521,0.01564245810055866,288.30611111111114,0,0,41
2976,46.0,0.37094735077327085,0.7418947015465417,53567.330748334185,-0.4166666666666667,1.2766101395973173,53567.330748334185,187.98370112301927,0.6307281668665613,276.5,2.0232090003610383,5.454167541953028,0.125,288.30611111111114,0,0,41
2977,47.0,4.589918638810658,9.179837277621315,61087.423638470274,0.0,1.8881669300818207,61087.423638470274,7520.092890136089,5.260753022554168,282.5,6.8949124808801345,1.5021862092672624,0.8271144278606966,288.30611111111114,0,0,41
2978,48.0,0.12812639014418556,0.2562527802883711,61317.79488794955,0.0055617352614015575,1.7757430083110517,61317.79488794955,230.37124947927805,0.13953291269057594,288.5,0.6269621961173225,4.893310389934328,0.011123470522803115,288.30611111111114,0,0,41
2979,49.0,0.2053792873163411,0.4107585746326822,61688.043790406846,0.0,1.8163277213859703,61688.043790406846,370.2489024572933,0.22170108213913212,294.5,0.9892831093229131,4.816859198654938,0.04338153503893215,288.30611111111114,0,0,41
2980,50.0,0.09536957428956988,0.19073914857913976,61859.613191628945,-0.0055617352614015575,1.9059642666286907,61859.613191628945,171.56940122209926,0.09501543056251367,300.5,0.2421259350659794,2.5388174044985705,0.011123470522803115,288.30611111111114,0,0,41
2981,51.0,0.08841926968432665,0.1768385393686533,62018.591038521365,0.0011123470522803114,1.8775042359830925,62018.591038521365,158.97784689241962,0.084079752784732,306.5,0.10791570037009084,1.2204997932619224,0.002224694104560623,288.30611111111114,0,0,41
2982,52.0,0.08597315562310576,0.17194631124621151,62173.17077233169,0.0011123470522803114,1.8548927612827877,62173.17077233169,154.57973381032207,0.08135778073755746,312.5,0.11745417409601415,1.3661726529024567,0.0,288.30611111111114,0,0,41
2983,53.0,0.13598568545778503,0.27197137091557005,62417.713177794634,0.0033370411568409346,1.8192855094343945,62417.713177794634,244.5424054629475,0.1426945094570448,318.5,0.6564352248347927,4.827237680384928,0.024471635150166853,288.30611111111114,0,0,41
2984,54.0,0.3269685245738218,0.6539370491476436,63005.504079785074,0.0,1.934159908107472,63005.504079785074,587.79090199044,0.3283692950557673,324.5,1.9727994397397572,6.033606575162391,0.07007786429365963,288.30611111111114,0,0,41
2985,55.0,0.235697991938674,0.471395983877348,63429.33862405438,0.0055617352614015575,1.704313356438106,63429.33862405438,423.83454426930257,0.22147727702916284,330.5,1.0191427926498506,4.323934982505156,0.0778642936596218,288.30611111111114,0,0,41
2986,56.0,0.14181533917997724,0.2836306783599545,63684.67195803014,-0.004449388209121246,2.007456355944621,63684.67195803014,255.33333397576644,0.14456150671540963,336.5,0.7048834932704432,4.9704319528924765,0.017797552836484983,288.30611111111114,0,0,41
2987,57.0,0.1124356909905759,0.2248713819811518,63886.85328825588,-0.002224694104560623,1.9733421315121475,63886.85328825588,202.18133022573602,0.10668980951005054,342.5,0.27485906259547094,2.4445890817579357,0.011123470522803115,288.30611111111114,0,0,41
